確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,40,38
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,45,36
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,50,36
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,55,44
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,5,13
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,60,19
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,65,21
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,70,17
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,0,3
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,1,4
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,10,6
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,15,7
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,2,8
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,20,57
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,25,115
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,3,6
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,30,102
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,35,66
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,4,3
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,40,86
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,45,60
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,50,49
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,55,43
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,5,8
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,60,23
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,65,29
嚴重特殊傳染性肺炎,2022,1,空值,空值,M,是,70,20
嚴重特殊傳染性肺炎,2022,1,屏東縣,萬丹鄉,F,否,5,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,0,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,1,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,10,1
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,10,2
嚴重特殊傳染性肺炎,2022,1,桃園市,龜山區,F,否,10,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,15,2
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,15,1
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,15,1
嚴重特殊傳染性肺炎,2022,1,桃園市,楊梅區,F,否,15,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,20,2
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,F,否,20,4
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,20,2
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,20,1
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,F,否,20,1
嚴重特殊傳染性肺炎,2022,1,桃園市,新屋區,F,否,20,1
嚴重特殊傳染性肺炎,2022,1,桃園市,龜山區,F,否,20,2
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,F,否,25,30
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,25,5
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,F,否,25,4
嚴重特殊傳染性肺炎,2022,1,桃園市,楊梅區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,桃園市,龜山區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,桃園市,蘆竹區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,3,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,3,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,30,5
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,F,否,30,42
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,30,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,30,5
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,30,1
嚴重特殊傳染性肺炎,2022,1,桃園市,觀音區,F,否,30,2
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,35,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,F,否,35,4
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,35,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,35,8
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,35,4
嚴重特殊傳染性肺炎,2022,1,桃園市,龍潭區,F,否,35,1
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,F,否,4,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,40,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,40,2
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,40,8
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,40,1
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,F,否,40,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,45,2
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,45,3
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,50,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,F,否,50,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,50,4
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,50,1
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,F,否,50,1
嚴重特殊傳染性肺炎,2022,1,桃園市,楊梅區,F,否,50,1
嚴重特殊傳染性肺炎,2022,1,桃園市,觀音區,F,否,50,2
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,55,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,F,否,55,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,55,2
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,55,6
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,F,否,55,2
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,5,3
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,5,2
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,5,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,60,2
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,60,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,60,2
嚴重特殊傳染性肺炎,2022,1,桃園市,龍潭區,F,否,60,1
嚴重特殊傳染性肺炎,2022,1,桃園市,觀音區,F,否,60,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,65,4
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,F,否,65,4
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,F,否,70,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,F,否,70,1
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,F,否,70,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,1,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,1,2
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,M,否,1,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,10,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,10,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,M,否,15,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,M,否,15,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,15,1
嚴重特殊傳染性肺炎,2022,1,桃園市,楊梅區,M,否,15,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,20,2
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,M,否,20,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,20,2
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,M,否,20,2
嚴重特殊傳染性肺炎,2022,1,桃園市,觀音區,M,否,20,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,25,3
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,M,否,25,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,25,4
嚴重特殊傳染性肺炎,2022,1,桃園市,觀音區,M,否,25,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,3,2
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,3,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,M,否,30,2
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,M,否,30,2
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,桃園市,龜山區,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,桃園市,蘆竹區,M,否,30,2
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,35,3
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,M,否,35,2
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,35,2
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,桃園市,楊梅區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,桃園市,龜山區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,4,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,40,2
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,40,5
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,M,否,40,1
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,M,否,40,2
嚴重特殊傳染性肺炎,2022,1,桃園市,龍潭區,M,否,40,2
嚴重特殊傳染性肺炎,2022,1,桃園市,蘆竹區,M,否,40,2
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,45,2
嚴重特殊傳染性肺炎,2022,1,桃園市,楊梅區,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,桃園市,龍潭區,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,50,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,50,2
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,M,否,50,1
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,M,否,50,2
嚴重特殊傳染性肺炎,2022,1,桃園市,觀音區,M,否,50,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大園區,M,否,55,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,M,否,55,1
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,55,2
嚴重特殊傳染性肺炎,2022,1,桃園市,龍潭區,M,否,55,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,5,3
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,5,5
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,M,否,5,1
嚴重特殊傳染性肺炎,2022,1,桃園市,桃園區,M,否,5,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,60,2
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,60,1
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,M,否,65,2
嚴重特殊傳染性肺炎,2022,1,桃園市,中壢區,M,否,65,1
嚴重特殊傳染性肺炎,2022,1,桃園市,龍潭區,M,否,65,1
嚴重特殊傳染性肺炎,2022,1,桃園市,蘆竹區,M,否,65,1
嚴重特殊傳染性肺炎,2022,1,桃園市,八德區,M,否,70,2
嚴重特殊傳染性肺炎,2022,1,桃園市,大溪區,M,否,70,1
嚴重特殊傳染性肺炎,2022,1,桃園市,平鎮區,M,否,70,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,15,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,20,2
嚴重特殊傳染性肺炎,2022,1,高雄市,三民區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,高雄市,苓雅區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,高雄市,新興區,F,否,3,1
嚴重特殊傳染性肺炎,2022,1,高雄市,大寮區,F,否,30,1
嚴重特殊傳染性肺炎,2022,1,高雄市,大寮區,F,否,35,2
嚴重特殊傳染性肺炎,2022,1,高雄市,前金區,F,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,F,否,35,2
嚴重特殊傳染性肺炎,2022,1,高雄市,仁武區,F,否,40,1
嚴重特殊傳染性肺炎,2022,1,高雄市,左營區,F,否,40,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前金區,F,否,40,1
嚴重特殊傳染性肺炎,2022,1,高雄市,苓雅區,F,否,40,3
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,40,3
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,F,否,40,2
嚴重特殊傳染性肺炎,2022,1,高雄市,橋頭區,F,否,40,1
嚴重特殊傳染性肺炎,2022,1,高雄市,三民區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前鎮區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,高雄市,苓雅區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鼓山區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,F,否,50,2
嚴重特殊傳染性肺炎,2022,1,高雄市,前鎮區,F,否,55,1
嚴重特殊傳染性肺炎,2022,1,高雄市,大寮區,F,否,5,2
嚴重特殊傳染性肺炎,2022,1,高雄市,新興區,F,否,5,2
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,5,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,F,否,5,1
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,F,否,60,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,60,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,65,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前金區,F,否,70,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,F,否,70,3
嚴重特殊傳染性肺炎,2022,1,高雄市,大寮區,M,否,1,1
嚴重特殊傳染性肺炎,2022,1,高雄市,仁武區,M,否,10,1
嚴重特殊傳染性肺炎,2022,1,高雄市,左營區,M,否,10,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,10,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,M,否,15,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,M,否,20,2
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,20,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前鎮區,M,否,25,1
嚴重特殊傳染性肺炎,2022,1,高雄市,大寮區,M,否,3,1
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,高雄市,新興區,M,否,30,2
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,高雄市,大寮區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,仁武區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,左營區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前金區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前鎮區,M,否,35,2
嚴重特殊傳染性肺炎,2022,1,高雄市,楠梓區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鼓山區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,4,1
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,M,否,40,1
嚴重特殊傳染性肺炎,2022,1,高雄市,新興區,M,否,40,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,40,2
嚴重特殊傳染性肺炎,2022,1,高雄市,彌陀區,M,否,40,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鹽埕區,M,否,40,1
嚴重特殊傳染性肺炎,2022,1,高雄市,左營區,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前鎮區,M,否,45,3
嚴重特殊傳染性肺炎,2022,1,高雄市,鼓山區,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,M,否,45,2
嚴重特殊傳染性肺炎,2022,1,高雄市,岡山區,M,否,50,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,50,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前鎮區,M,否,55,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,M,否,55,1
嚴重特殊傳染性肺炎,2022,1,高雄市,大寮區,M,否,5,4
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,M,否,5,2
嚴重特殊傳染性肺炎,2022,1,高雄市,前金區,M,否,5,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,M,否,5,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,5,1
嚴重特殊傳染性肺炎,2022,1,高雄市,三民區,M,否,60,1
嚴重特殊傳染性肺炎,2022,1,高雄市,大寮區,M,否,60,1
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,M,否,60,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前金區,M,否,60,1
嚴重特殊傳染性肺炎,2022,1,高雄市,苓雅區,M,否,60,2
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,60,1
嚴重特殊傳染性肺炎,2022,1,高雄市,小港區,M,否,65,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前鎮區,M,否,65,1
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,M,否,65,1
嚴重特殊傳染性肺炎,2022,1,高雄市,鳳山區,M,否,65,2
嚴重特殊傳染性肺炎,2022,1,高雄市,左營區,M,否,70,1
嚴重特殊傳染性肺炎,2022,1,高雄市,前鎮區,M,否,70,2
嚴重特殊傳染性肺炎,2022,1,高雄市,旗津區,M,否,70,1
嚴重特殊傳染性肺炎,2022,1,基隆市,中正區,M,否,40,1
嚴重特殊傳染性肺炎,2022,1,新北市,新店區,F,否,20,1
嚴重特殊傳染性肺炎,2022,1,新北市,新莊區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,新北市,土城區,F,否,30,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,F,否,30,1
嚴重特殊傳染性肺炎,2022,1,新北市,三重區,F,否,35,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,F,否,55,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,F,否,70,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,M,否,2,1
嚴重特殊傳染性肺炎,2022,1,新北市,永和區,M,否,20,1
嚴重特殊傳染性肺炎,2022,1,新北市,土城區,M,否,25,1
嚴重特殊傳染性肺炎,2022,1,新北市,蘆洲區,M,否,25,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,新北市,樹林區,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,M,否,50,1
嚴重特殊傳染性肺炎,2022,1,新北市,泰山區,M,否,50,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,M,否,55,1
嚴重特殊傳染性肺炎,2022,1,新北市,新店區,M,否,55,1
嚴重特殊傳染性肺炎,2022,1,新北市,板橋區,M,否,5,1
嚴重特殊傳染性肺炎,2022,1,新竹市,東區,F,否,15,1
嚴重特殊傳染性肺炎,2022,1,新竹市,香山區,F,否,30,1
嚴重特殊傳染性肺炎,2022,1,新竹市,東區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,新竹市,東區,F,否,5,1
嚴重特殊傳染性肺炎,2022,1,新竹市,東區,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,新竹市,北區,M,否,50,1
嚴重特殊傳染性肺炎,2022,1,新竹縣,新豐鄉,F,否,20,1
嚴重特殊傳染性肺炎,2022,1,新竹縣,湖口鄉,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,新竹縣,新豐鄉,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,新竹縣,竹北市,M,否,45,1
嚴重特殊傳染性肺炎,2022,1,新竹縣,竹北市,M,否,55,1
嚴重特殊傳染性肺炎,2022,2,台中市,龍井區,M,否,40,1
嚴重特殊傳染性肺炎,2022,2,台北市,北投區,F,否,20,1
嚴重特殊傳染性肺炎,2022,2,台北市,萬華區,F,否,20,1
嚴重特殊傳染性肺炎,2022,2,台北市,信義區,F,否,25,1
嚴重特殊傳染性肺炎,2022,2,台北市,北投區,F,否,40,1
嚴重特殊傳染性肺炎,2022,2,台北市,內湖區,F,否,45,1
嚴重特殊傳染性肺炎,2022,2,台北市,松山區,F,否,45,2
嚴重特殊傳染性肺炎,2022,2,台北市,大同區,F,否,50,1
嚴重特殊傳染性肺炎,2022,2,台北市,北投區,F,否,50,2
嚴重特殊傳染性肺炎,2022,2,台北市,信義區,F,否,50,2
嚴重特殊傳染性肺炎,2022,2,台北市,松山區,F,否,5,2
嚴重特殊傳染性肺炎,2022,2,台北市,大安區,F,否,70,1
嚴重特殊傳染性肺炎,2022,2,台北市,內湖區,M,否,20,1
嚴重特殊傳染性肺炎,2022,2,台北市,中正區,M,否,35,1
嚴重特殊傳染性肺炎,2022,2,台北市,內湖區,M,否,35,1
嚴重特殊傳染性肺炎,2022,2,台北市,松山區,M,否,4,1
嚴重特殊傳染性肺炎,2022,2,台北市,松山區,M,否,40,1
嚴重特殊傳染性肺炎,2022,2,台北市,大同區,M,否,45,1
嚴重特殊傳染性肺炎,2022,2,台北市,大同區,M,否,55,1
嚴重特殊傳染性肺炎,2022,2,台北市,北投區,M,否,55,1
嚴重特殊傳染性肺炎,2022,2,台北市,信義區,M,否,55,1
嚴重特殊傳染性肺炎,2022,2,台北市,松山區,M,否,5,1
嚴重特殊傳染性肺炎,2022,2,台南市,歸仁區,F,否,25,2
嚴重特殊傳染性肺炎,2022,2,台南市,安南區,F,否,30,1
嚴重特殊傳染性肺炎,2022,2,台南市,新營區,F,否,45,1
嚴重特殊傳染性肺炎,2022,2,台南市,歸仁區,M,否,20,1
嚴重特殊傳染性肺炎,2022,2,台南市,歸仁區,M,否,30,1
嚴重特殊傳染性肺炎,2022,2,台南市,歸仁區,M,否,5,2
嚴重特殊傳染性肺炎,2022,2,台南市,安南區,M,否,60,1
嚴重特殊傳染性肺炎,2022,2,台南市,鹽水區,M,否,60,1
嚴重特殊傳染性肺炎,2022,2,宜蘭縣,羅東鎮,F,否,45,1
嚴重特殊傳染性肺炎,2022,2,宜蘭縣,員山鄉,F,否,55,1
嚴重特殊傳染性肺炎,2022,2,宜蘭縣,員山鄉,M,否,25,1
